Rk,Name,Age,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP/G,PTS/G,TRB/G,AST/G,STL/G,BLK/G
1,Goran Dragić,33,4,4,137,36,75,12,29,7,12,5,11,16,20,5,0,10,10,91,0.48,0.414,0.583,34.2,22.8,4,5,1.3,0
2,Jimmy Butler,30,4,4,135,20,49,4,7,35,42,7,14,21,16,10,4,15,6,79,0.408,0.571,0.833,33.7,19.8,5.3,4,2.5,1
3,Tyler Herro,20,4,0,129,22,48,8,22,14,17,2,14,16,12,2,1,4,8,66,0.458,0.364,0.824,32.4,16.5,4,3,0.5,0.3
4,Bam Adebayo,22,4,4,137,23,48,0,0,14,17,12,33,45,21,4,5,12,11,60,0.479,,0.824,34.3,15,11.3,5.3,1,1.3
5,Duncan Robinson,25,4,4,101,15,32,12,27,8,10,1,11,12,5,2,1,5,11,50,0.469,0.444,0.8,25.1,12.5,3,1.3,0.5,0.3
6,Jae Crowder,29,4,4,102,12,30,8,24,7,10,3,23,26,6,4,0,1,6,39,0.4,0.333,0.7,25.6,9.8,6.5,1.5,1,0
7,Kelly Olynyk,28,4,0,55,10,19,3,11,2,2,3,23,26,4,0,1,4,3,25,0.526,0.273,1,13.7,6.3,6.5,1,0,0.3
8,Andre Iguodala,36,4,0,107,7,11,3,7,2,2,2,9,11,4,5,5,2,5,19,0.636,0.429,1,26.8,4.8,2.8,1,1.3,1.3
9,Derrick Jones,22,4,0,43,3,6,1,3,2,5,2,4,6,6,3,0,1,3,9,0.5,0.333,0.4,10.6,2.3,1.5,1.5,0.8,0
10,Kendrick Nunn,24,1,0,14,2,5,1,3,2,2,0,3,3,2,0,0,0,0,7,0.4,0.333,1,14.2,7,3,2,0,0
,Team Totals,26,4,,960,150,323,52,133,93,119,37,145,182,96,35,17,54,63,445,0.464,0.391,0.782,240,111.3,45.5,24,8.8,4.3