Name,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Anthony Davis,39:33:00,0.783,0.775,0.05,0.05,20.7,21.4,21,3.9,1.3,0,12.8,25.1,143,127,7.1
LeBron James,39:09:00,0.607,0.62,0.32,0.2,5.2,25.2,13.6,34.7,1.3,2.8,0,29.4,144,124,14.9
Kentavious Caldwell-Pope,31:51:00,0.381,0.357,0.786,0.071,3.2,13.3,7.4,14,1.7,0,0,19.2,108,127,-4.7
Danny Green,22:07,0.188,0.188,1,0,4.6,6.4,5.4,9.3,4.8,0,0,15.3,74,121,-7.1
Dwight Howard,17:11,0.694,1,0,1,0,16.4,6.9,6.9,0,12.7,0,10.6,128,121,0.5
Rajon Rondo,26:00:00,0.743,0.722,0.444,0.444,0,21.7,9.1,46.4,0,0,8.5,19.1,163,130,12.1
Alex Caruso,23:14,0.6,0.6,0.8,0,8.8,0,5.1,9.2,2.3,0,28.6,12.7,108,128,-3.8
Kyle Kuzma,21:40,0.59,0.5,0.75,0.375,4.7,6.5,5.5,5.2,0,0,24.4,24.1,99,132,-7
Markieff Morris,15:54,0.6,0.6,1,0,6.4,35.5,18.6,14.1,0,0,0,13.3,150,128,3.6
J.R. Smith,3:19,,,,,0,0,0,0,0,0,,0,0,133,-17.9
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,