Rk,Lineup,MP,PTS,FG,FGA,FG%,3P,3PA,3P%,eFG%,FT,FTA,FT%,ORB,ORB%,DRB,DRB%,TRB,TRB%,AST,STL,BLK,TOV,PF
1,K. Caldwell-Pope | A. Davis | D. Green | L. James | J. McGee,112:28:00,18.2,5.1,4.9,0.029,5.3,5.2,0.101,0.054,2.6,6.6,-0.134,7.5,14.2,4.6,14.2,6,12.7,8.8,-0.9,5.8,-0.1,-2.9
2,K. Caldwell-Pope | A. Davis | D. Green | D. Howard | L. James,107:13:00,4.5,3,6.5,-0.004,-3.5,-5,-0.042,-0.029,2,4.5,-0.08,7.5,17.2,5,17.2,6.3,15.5,-5,1,2.5,1,-3
3,A. Caruso | L. James | K. Kuzma | M. Morris | R. Rondo,67:13:00,8.8,-0.3,-9,0.055,3.5,4.6,0.032,0.089,5.9,7.3,-0.008,-1.7,-3.8,0.7,-3.8,-0.8,-2.2,5.6,1.8,2.4,2,-0.8
4,K. Caldwell-Pope | A. Caruso | A. Davis | K. Kuzma | R. Rondo,46:35:00,-7.6,4.4,10.8,-0.011,-5.4,-8.9,-0.104,-0.05,-10.9,-12.1,-0.015,2,3.8,-1.3,3.8,0,0,6.7,3.2,-3,-0.3,3.1
5,A. Caruso | A. Davis | L. James | K. Kuzma | R. Rondo,46:12:00,9.3,1.1,2.2,0,-0.7,6.8,-0.098,-0.007,7.7,7.8,0.034,0.2,-1.3,-2.7,-1.3,-1,-3.3,9.6,5.7,2.9,-5.3,-0.5
6,K. Caldwell-Pope | A. Davis | D. Green | L. James | M. Morris,39:29:00,43.8,20,15.3,0.159,7.2,12.3,0.067,0.186,-3.4,-3.2,-0.058,9.7,23.6,14.5,23.6,12.6,27.5,6.1,4.9,5.1,-3.3,2
7,K. Caldwell-Pope | A. Caruso | A. Davis | L. James | R. Rondo,30:15:00,14.1,3.7,10.7,-0.019,-2.7,-0.1,-0.084,-0.043,9.4,9.8,0.066,12,25.4,8.3,25.4,10.6,24.5,1.5,-2,2.9,-2.6,-4.1
8,K. Caldwell-Pope | A. Davis | L. James | K. Kuzma | R. Rondo,27:22:00,5.4,8.6,-9,0.152,-0.2,-2.5,0.016,0.157,-11.7,-8,-0.172,-3.9,3,17.5,3,6.5,14.3,5.2,-7.3,-1.8,10.9,-0.9
9,A. Caruso | D. Green | L. James | K. Kuzma | M. Morris,24:29:00,-13.1,-1.7,-1.5,-0.011,-0.5,6.8,-0.075,-0.013,-9.3,-5.6,-0.16,3.6,1.9,-6.9,1.9,-2.1,-4.3,-7.5,2.4,-2,7.7,1
10,K. Caldwell-Pope | A. Caruso | A. Davis | D. Green | L. James,22:42,36.7,16.5,19.7,0.102,-8.8,-5,-0.212,0.035,12.6,12.5,0.109,10.5,21.1,9.4,21.1,9.7,20,8.1,8.8,10.9,-11.2,1.1
,,,,,,,,,,,,,,,,,,,,,,,,